frame,index,player,x,y,angle,vx,vy,av,speed,dist,arrowRot
0,0,1,-11.571605,-77.093292,2.948149,28.819517,147.118698,0.000000,149.914902,74.957451,1.377353
0,1,1,137.637360,28.678921,-1.335480,-185.186813,-44.400124,0.000000,190.435104,95.217552,-2.906276
0,2,1,132.783569,148.856461,-0.521003,-118.350288,-206.223251,0.000000,237.770523,118.885262,-2.091799
0,3,1,-119.787865,124.894798,1.001579,178.052307,-113.929337,0.000000,211.382401,105.691200,-0.569217
0,4,2,50.132240,96.064453,-0.913656,-101.264519,-78.128952,0.000000,127.900887,63.950443,-2.484452
0,5,2,-117.397438,-23.882458,1.995489,138.794861,62.764885,0.000000,152.326767,76.163383,0.424693
0,6,2,60.939785,-115.408684,3.457119,-65.879639,201.817291,0.000000,212.297775,106.148888,1.886323
0,7,2,139.728958,-64.253662,3.943493,-152.457932,147.507263,0.000000,212.136307,106.068161,2.372697
1,0,1,-11.101849,-74.695267,2.948149,28.185347,143.881363,0.000000,146.616028,74.957451,1.377353
1,1,1,134.618835,27.955202,-1.335480,-181.111801,-43.423103,0.000000,186.244598,95.217552,-2.906276
1,2,1,130.854462,145.495041,-0.521003,-115.746002,-201.685333,0.000000,232.538406,118.885262,-2.091799
1,3,1,-116.885628,123.037758,1.001579,174.134277,-111.422333,0.000000,206.730942,105.691200,-0.569217
1,4,2,48.481636,94.790955,-0.913656,-99.036201,-76.409729,0.000000,125.086433,63.950443,-2.484452
1,5,2,-115.135094,-22.859396,1.995489,135.740692,61.383751,0.000000,148.974823,76.163383,0.424693
1,6,2,59.865952,-112.119080,3.457119,-64.429962,197.376328,0.000000,207.626190,106.148888,1.886323
1,7,2,137.243912,-61.849304,3.943493,-149.103104,144.261383,0.000000,207.468262,106.068161,2.372697
2,0,1,-10.642429,-72.350014,2.948149,27.565130,140.715271,0.000000,143.389755,74.957451,1.377353
2,1,1,131.666733,27.247410,-1.335480,-177.126450,-42.467583,0.000000,182.146301,95.217552,-2.906276
2,2,1,128.967804,142.207581,-0.521003,-113.199020,-197.247269,0.000000,227.421417,118.885262,-2.091799
2,3,1,-114.047256,121.221581,1.001579,170.302475,-108.970497,0.000000,202.181854,105.691200,-0.569217
2,4,2,46.867355,93.545479,-0.913656,-96.856918,-74.728340,0.000000,122.333923,63.950443,-2.484452
2,5,2,-112.922531,-21.858847,1.995489,132.753738,60.033009,0.000000,145.696655,76.163383,0.424693
2,6,2,58.815750,-108.901863,3.457119,-63.012188,193.033081,0.000000,203.057388,106.148888,1.886323
2,7,2,134.813538,-59.497856,3.943493,-145.822098,141.086929,0.000000,202.902939,106.068161,2.372697
3,0,1,-10.193120,-70.056366,2.948149,26.958563,137.618851,0.000000,140.234482,74.957451,1.377353
3,1,1,128.779587,26.555191,-1.335480,-173.228806,-41.533089,0.000000,178.138199,95.217552,-2.906276
3,2,1,127.122665,138.992462,-0.521003,-110.708084,-192.906860,0.000000,222.417038,118.885262,-2.091799
3,3,1,-111.271339,119.445374,1.001579,166.554993,-106.572609,0.000000,197.732880,105.691200,-0.569217
3,4,2,45.288597,92.327415,-0.913656,-94.725594,-73.083954,0.000000,119.641975,63.950443,-2.484452
3,5,2,-110.758659,-20.880314,1.995489,129.832504,58.711987,0.000000,142.490616,76.163383,0.424693
3,6,2,57.788658,-105.755440,3.457119,-61.625610,188.785400,0.000000,198.589127,106.148888,1.886323
3,7,2,132.436646,-57.198151,3.943493,-142.613297,137.982330,0.000000,198.438095,106.068161,2.372697
4,0,1,-9.753697,-67.813187,2.948149,26.365343,134.590561,0.000000,137.148636,74.957451,1.377353
4,1,1,125.955971,25.878204,-1.335480,-169.416916,-40.619156,0.000000,174.218277,95.217552,-2.906276
